Library Name,Bus Route,address,location,lat,lng
East,"#20, #26","206 Gallatin Avenue
Nashville, TN 37206
(36.17912, -86.750438)","(36.17912, -86.750438)",36.17912,-86.750438
Hadley Park,#29,"1039 28th Ave., North
Nashville, TN 37208
(36.166888, -86.820526)","(36.166888, -86.820526)",36.166888,-86.820526
Inglewood,"#26 Local, #56 BRT","4312 Gallatin Pike
Nashville, TN 37216
(36.225814, -86.725447)","(36.225814, -86.725447)",36.225814,-86.725447
Richland Park,#10,"4711 Charlotte Avenue
Nashville, TN 37209
(36.152105, -86.84438)","(36.152105, -86.84438)",36.152105,-86.84438
Main,Walking distance from Music City Central,"615 Church Street
Nashville, TN 37219
(36.162414, -86.781895)","(36.162414, -86.781895)",36.162414,-86.781895
Edgehill,#17,"1409 12th Avenue, South
Nashville, TN 37203
(36.138982, -86.787715)","(36.138982, -86.787715)",36.138982,-86.787715
Thompson Lane,#12,"380 Thompson Lane
Nashville, TN 37211
(36.110801, -86.743292)","(36.110801, -86.743292)",36.110801,-86.743292
Green Hills,#7,"3701 Benham Avenue
Nashville, TN 37215
(36.109283, -86.808739)","(36.109283, -86.808739)",36.109283,-86.808739
Watkins Park,"#19, #25","612 17th Avenue North
Nashville, TN 37203
(36.16275, -86.80084)","(36.16275, -86.80084)",36.16275,-86.80084
Bellevue,"#24x, #31,# 5","720 Baugh Road
Nashville, TN 37221
(36.069242, -86.935419)","(36.069242, -86.935419)",36.069242,-86.935419
North,"#29, #42","1001 Monroe Street
Nashville, TN 37208
(36.174413, -86.795942)","(36.174413, -86.795942)",36.174413,-86.795942
Southeast ,"#15, #55 BRT","5260 Hickory Hollow Parkway
Antioch, TN 37013
(36.048391, -86.657027)","(36.048391, -86.657027)",36.048391,-86.657027
Edmondson Pike,"#37, #72","5501 Edmondson Pike
Nashville, TN 37211
(36.044746, -86.744004)","(36.044746, -86.744004)",36.044746,-86.744004
Bordeaux,#22,"4000 Clarksville Pike
Nashville, TN 37218
(36.211684, -86.838746)","(36.211684, -86.838746)",36.211684,-86.838746
Old Hickory,#27,"1010 Jones Street
Old Hickokry, TN 37138
(36.260014, -86.645958)","(36.260014, -86.645958)",36.260014,-86.645958
Madison,"#26, #56, #76","610 Gallatin Pike South
Madison, TN 37115
(36.257054, -86.714041)","(36.257054, -86.714041)",36.257054,-86.714041
Hermitage ,#6,"3700 James Kay Lane
Hermitage, TN 370706
(36.177515, -86.61674)","(36.177515, -86.61674)",36.177515,-86.61674
Goodlettsville,,"205 Rivergate Parkway
Goodlettsville, TN 37072
(36.314643, -86.709932)","(36.314643, -86.709932)",36.314643,-86.709932
Pruitt,#25,"117 Charles E. Davis Boulevard
Nashville, TN 37210
(36.151725, -86.762036)","(36.151725, -86.762036)",36.151725,-86.762036
Donelson,#6,"2315 Lebanon Road
Nashville, TN 37214
(36.168936, -86.683548)","(36.168936, -86.683548)",36.168936,-86.683548
Looby,#9,"2301 Rosa L. Parks Boulevard
Nashville, TN 37228
(36.193625, -86.808126)","(36.193625, -86.808126)",36.193625,-86.808126
